filepath,height,micrometers,scale_x0,scale_x1
dataset\1000\10uM_biotin_1000x__024.tif,2048,50,1565,2776
dataset\1000\10uM_biotin_1000x__025.tif,2048,50,1565,2776
dataset\1000\10uM_biotin_1000x__026.tif,2048,50,1565,2776
dataset\1000\20uM_biotin_1000x__041.tif,2048,50,1565,2776
dataset\1000\20uM_biotin_1000x__042.tif,2048,50,1565,2776
dataset\1000\20uM_biotin_1000x__043.tif,2048,50,1565,2776
dataset\1000\20uM_biotin_1000x__045.tif,2048,50,1565,2776
dataset\1000\3-1k1.tif,1024,50,780,1386
dataset\1000\5uM_biotin_1000x__004.tif,2048,50,1565,2776
dataset\1000\5uM_biotin_1000x__006.tif,2048,50,1565,2776
dataset\1000\5uM_biotin_1000x__007.tif,2048,50,1565,2776
dataset\1000\5uM_biotin_1000x__008.tif,2048,50,1565,2776
dataset\1000\naive RBCs_1000x__060.tif,2048,50,1565,2776
dataset\1000\naive RBCs_1000x__061.tif,2048,50,1565,2776
dataset\1000\naive RBCs_1000x__062.tif,2048,50,1565,2776
dataset\1000\test\10uM_biotin_1000x__027.tif,2048,50,1565,2776
dataset\1000\test\20uM_biotin_1000x__046.tif,2048,50,1565,2776
dataset\1000\test\5uM_biotin_1000x__009.tif,2048,50,1565,2776
dataset\1000\test\naive RBCs_1000x__063.tif,2048,50,1565,2776
dataset\500\5uM_biotin_500x__001.tif,1024,100,773,1379
